Year,Locality,Count
2015,MORNINGTON,9
2016,MORNINGTON,NA
2017,MORNINGTON,6
2018,MORNINGTON,12
2019,MORNINGTON,5
2000,MOUNT ELIZA,NA
2001,MOUNT ELIZA,NA
2002,MOUNT ELIZA,NA
2003,MOUNT ELIZA,NA
2004,MOUNT ELIZA,NA
2005,MOUNT ELIZA,NA
2006,MOUNT ELIZA,NA
2007,MOUNT ELIZA,20
2008,MOUNT ELIZA,6
2009,MOUNT ELIZA,3
2010,MOUNT ELIZA,3
2011,MOUNT ELIZA,8
2012,MOUNT ELIZA,NA
2013,MOUNT ELIZA,2
2014,MOUNT ELIZA,2
2015,MOUNT ELIZA,4
2016,MOUNT ELIZA,1
2017,MOUNT ELIZA,9
2018,MOUNT ELIZA,2
2019,MOUNT ELIZA,14
2000,MOUNT MARTHA,31
2001,MOUNT MARTHA,9
2002,MOUNT MARTHA,5
2003,MOUNT MARTHA,9
2004,MOUNT MARTHA,5
2005,MOUNT MARTHA,4
2006,MOUNT MARTHA,5
2007,MOUNT MARTHA,8
2008,MOUNT MARTHA,6
2009,MOUNT MARTHA,2
2010,MOUNT MARTHA,NA
2011,MOUNT MARTHA,13
2012,MOUNT MARTHA,6
2013,MOUNT MARTHA,4
2014,MOUNT MARTHA,49
2015,MOUNT MARTHA,39
2016,MOUNT MARTHA,23
2017,MOUNT MARTHA,50
2018,MOUNT MARTHA,26
2019,MOUNT MARTHA,85
2000,POINT LEO,NA
2001,POINT LEO,NA
2002,POINT LEO,NA
2003,POINT LEO,NA
2004,POINT LEO,NA
2005,POINT LEO,NA
2006,POINT LEO,NA
2007,POINT LEO,NA
2008,POINT LEO,NA
2009,POINT LEO,5
2010,POINT LEO,NA
2011,POINT LEO,2
2012,POINT LEO,NA
2013,POINT LEO,NA
2014,POINT LEO,4
2015,POINT LEO,NA
2016,POINT LEO,2
2017,POINT LEO,7
2018,POINT LEO,8
2019,POINT LEO,8
2000,PORTSEA,NA
2001,PORTSEA,NA
2002,PORTSEA,NA
2003,PORTSEA,NA
2004,PORTSEA,NA
2005,PORTSEA,NA
2006,PORTSEA,NA
2007,PORTSEA,NA
2008,PORTSEA,NA
2009,PORTSEA,2
2010,PORTSEA,NA
2011,PORTSEA,NA
2012,PORTSEA,NA
2013,PORTSEA,NA
2014,PORTSEA,2
2015,PORTSEA,4
2016,PORTSEA,13
2017,PORTSEA,9
2018,PORTSEA,78
2019,PORTSEA,16
2000,RED HILL,NA
2001,RED HILL,NA
2002,RED HILL,NA
2003,RED HILL,NA
2004,RED HILL,NA
2005,RED HILL,2
2006,RED HILL,2
2007,RED HILL,NA
2008,RED HILL,1
2009,RED HILL,NA
2010,RED HILL,NA
2011,RED HILL,NA
2012,RED HILL,NA
2013,RED HILL,NA
2014,RED HILL,NA
2015,RED HILL,NA
2016,RED HILL,NA
2017,RED HILL,2
2018,RED HILL,NA
2019,RED HILL,NA
2000,RED HILL SOUTH,NA
2001,RED HILL SOUTH,NA
2002,RED HILL SOUTH,NA
2003,RED HILL SOUTH,NA
2004,RED HILL SOUTH,NA
2005,RED HILL SOUTH,NA
2006,RED HILL SOUTH,NA
2007,RED HILL SOUTH,NA
2008,RED HILL SOUTH,NA
2009,RED HILL SOUTH,NA
2010,RED HILL SOUTH,NA
2011,RED HILL SOUTH,NA
2012,RED HILL SOUTH,NA
2013,RED HILL SOUTH,NA
2014,RED HILL SOUTH,NA
2015,RED HILL SOUTH,NA
2016,RED HILL SOUTH,NA
2017,RED HILL SOUTH,NA
2018,RED HILL SOUTH,NA
2019,RED HILL SOUTH,NA
2000,ROSEBUD,NA
2001,ROSEBUD,NA
2002,ROSEBUD,NA
2003,ROSEBUD,NA
2004,ROSEBUD,NA
2005,ROSEBUD,NA
2006,ROSEBUD,NA
2007,ROSEBUD,NA
2008,ROSEBUD,NA
2009,ROSEBUD,1
2010,ROSEBUD,NA
2011,ROSEBUD,NA
2012,ROSEBUD,NA
2013,ROSEBUD,NA
2014,ROSEBUD,7
2015,ROSEBUD,3
2016,ROSEBUD,2
2017,ROSEBUD,NA
2018,ROSEBUD,3
2019,ROSEBUD,8
2000,RYE,NA
2001,RYE,NA
2002,RYE,NA
2003,RYE,NA
2004,RYE,NA
2005,RYE,NA
2006,RYE,NA
2007,RYE,NA
2008,RYE,NA
2009,RYE,NA
2010,RYE,NA
2011,RYE,NA
2012,RYE,2
2013,RYE,NA
2014,RYE,NA
2015,RYE,NA
2016,RYE,1
2017,RYE,2
2018,RYE,NA
2019,RYE,NA
2000,SAFETY BEACH,NA
2001,SAFETY BEACH,NA
2002,SAFETY BEACH,NA
2003,SAFETY BEACH,NA
2004,SAFETY BEACH,1
2005,SAFETY BEACH,NA
2006,SAFETY BEACH,NA
2007,SAFETY BEACH,NA
2008,SAFETY BEACH,NA
2009,SAFETY BEACH,NA
2010,SAFETY BEACH,NA
2011,SAFETY BEACH,NA
2012,SAFETY BEACH,NA
2013,SAFETY BEACH,NA
2014,SAFETY BEACH,NA
2015,SAFETY BEACH,NA
2016,SAFETY BEACH,NA
2017,SAFETY BEACH,NA
2018,SAFETY BEACH,2
2019,SAFETY BEACH,NA
2000,SHOREHAM,NA
2001,SHOREHAM,NA
2002,SHOREHAM,NA
2003,SHOREHAM,NA
2004,SHOREHAM,NA
2005,SHOREHAM,4
2006,SHOREHAM,NA
2007,SHOREHAM,NA
2008,SHOREHAM,NA
2009,SHOREHAM,NA
2010,SHOREHAM,NA
2011,SHOREHAM,NA
2012,SHOREHAM,NA
2013,SHOREHAM,NA
2014,SHOREHAM,6
2015,SHOREHAM,12
2016,SHOREHAM,NA
2017,SHOREHAM,NA
2018,SHOREHAM,NA
2019,SHOREHAM,NA
2000,SOMERS,NA
2001,SOMERS,3
2002,SOMERS,4
2003,SOMERS,6
2004,SOMERS,1
2005,SOMERS,NA
2006,SOMERS,5
2007,SOMERS,NA
2008,SOMERS,3
2009,SOMERS,3
2010,SOMERS,NA
2011,SOMERS,2
2012,SOMERS,6
2013,SOMERS,3
2014,SOMERS,93
2015,SOMERS,33
2016,SOMERS,24
2017,SOMERS,21
2018,SOMERS,22
2019,SOMERS,7
2000,SOMERVILLE,NA
2001,SOMERVILLE,NA
2002,SOMERVILLE,NA
2003,SOMERVILLE,NA
2004,SOMERVILLE,NA
2005,SOMERVILLE,NA
2006,SOMERVILLE,NA
2007,SOMERVILLE,NA
2008,SOMERVILLE,7
2009,SOMERVILLE,NA
2010,SOMERVILLE,NA
2011,SOMERVILLE,2
2012,SOMERVILLE,NA
2013,SOMERVILLE,NA
2014,SOMERVILLE,7
2015,SOMERVILLE,14
2016,SOMERVILLE,NA
2017,SOMERVILLE,1
2018,SOMERVILLE,5
2019,SOMERVILLE,7
2000,SORRENTO,NA
2001,SORRENTO,1
2002,SORRENTO,NA
2003,SORRENTO,NA
2004,SORRENTO,NA
2005,SORRENTO,NA
2006,SORRENTO,NA
2007,SORRENTO,NA
2008,SORRENTO,NA
2009,SORRENTO,NA
2010,SORRENTO,NA
2011,SORRENTO,NA
2012,SORRENTO,1
2013,SORRENTO,NA
2014,SORRENTO,2
2015,SORRENTO,2
2016,SORRENTO,NA
2017,SORRENTO,2
2018,SORRENTO,4
2019,SORRENTO,5
2000,ST ANDREWS BEACH,NA
2001,ST ANDREWS BEACH,NA
2002,ST ANDREWS BEACH,NA
2003,ST ANDREWS BEACH,NA
2004,ST ANDREWS BEACH,NA
2005,ST ANDREWS BEACH,NA
2006,ST ANDREWS BEACH,NA
2007,ST ANDREWS BEACH,NA
2008,ST ANDREWS BEACH,NA
2009,ST ANDREWS BEACH,NA
2010,ST ANDREWS BEACH,NA
2011,ST ANDREWS BEACH,NA
2012,ST ANDREWS BEACH,NA
2013,ST ANDREWS BEACH,NA
2014,ST ANDREWS BEACH,NA
2015,ST ANDREWS BEACH,NA
2016,ST ANDREWS BEACH,NA
2017,ST ANDREWS BEACH,NA
2018,ST ANDREWS BEACH,NA
2019,ST ANDREWS BEACH,NA
2000,TOOTGAROOK,NA
2001,TOOTGAROOK,NA
2002,TOOTGAROOK,NA
2003,TOOTGAROOK,NA
2004,TOOTGAROOK,NA
2005,TOOTGAROOK,NA
2006,TOOTGAROOK,NA
2007,TOOTGAROOK,NA
2008,TOOTGAROOK,NA
2009,TOOTGAROOK,NA
2010,TOOTGAROOK,NA
2011,TOOTGAROOK,NA
2012,TOOTGAROOK,NA
2013,TOOTGAROOK,NA
2014,TOOTGAROOK,NA
2015,TOOTGAROOK,NA
2016,TOOTGAROOK,NA
2017,TOOTGAROOK,NA
2018,TOOTGAROOK,NA
2019,TOOTGAROOK,NA
2000,TUERONG,NA
2001,TUERONG,NA
2002,TUERONG,2
2003,TUERONG,NA
2004,TUERONG,21
2005,TUERONG,38
2006,TUERONG,15
2007,TUERONG,NA
2008,TUERONG,25
2009,TUERONG,20
2010,TUERONG,262
2011,TUERONG,183
2012,TUERONG,219
2013,TUERONG,329
2014,TUERONG,23
2015,TUERONG,20
2016,TUERONG,115
2017,TUERONG,361
2018,TUERONG,178
2019,TUERONG,125
2000,TYABB,2
2001,TYABB,NA
2002,TYABB,NA
2003,TYABB,NA
2004,TYABB,NA
2005,TYABB,NA
2006,TYABB,14
2007,TYABB,NA
2008,TYABB,NA
2009,TYABB,NA
2010,TYABB,NA
2011,TYABB,NA
2012,TYABB,17
2013,TYABB,6
2014,TYABB,31
2015,TYABB,13
2016,TYABB,NA
2017,TYABB,6
2018,TYABB,20
2019,TYABB,9
